병원명,기관구분,주소,지역,위도,경도
기관명,기관구분,주소,기타,,
(재)천주의성요한병원,중독관리통합지원센터,"광주광역시 북구 태봉로 32, 유동 115-1",광주,35.1603325685691,126.903602534309
(학)일송학원 한림대학교성심병원,기초정신건강복지센터,관평로170번길 22,기타,37.3916511965629,126.961972175812
가득한집,정신재활시설,"서울특별시 금천구 시흥대로 133-7, 301호(시흥동)",서울,37.4459942451557,126.902779891346
가람슬기,정신재활시설,"서울특별시 광진구 천호대로 116길 109, 301",서울,,
가온길,정신재활시설,"서울특별시 노원구 공릉로 58나길 17, 2층(하계동)",서울,37.6364448403342,127.073523610521
가온누리,정신재활시설,충청남도 아산시 번영로 169번길 6-5,충청남도,36.7858993712246,127.010150052866
가평군자살예방센터,자살예방센터,경기도 가평군 가평읍 가화로 155-15,경기,37.8330135308471,127.510822815337
가평꽃동네 정신요양원,정신요양시설,경기도 가평군 조종면 꽃동네길 60,경기,37.885438528938,127.350534390164
강남구 정신건강복지센터,기초정신건강복지센터,"서울특별시 강남구 자곡로 100, 자곡문화센터 2층",서울,37.4714960885035,127.094495808084
강릉시정신건강복지센터,기초정신건강복지센터,"강릉시 남구길 23번길24 3층,4층",기타,37.7636350288816,128.903223848062
강릉중독관리통합지원센터,중독관리통합지원센터,강원도 강릉시 용지로144 리치빌딩 4층,강원,37.7616877892768,128.902503321014
강북구 정신건강복지센터,기초정신건강복지센터,서울특별시 강북구 삼양로19길 154 삼각산분소 3층,서울,37.6170464839465,127.015639860009
강서그룹홈,정신재활시설,서울특별시 강서구 초록마을로16길 20,서울,37.5411864539361,126.849543454477
강서양지,정신재활시설,"서울특별시 강서구 등촌로35 가길 26, 301호",서울,37.5374354399218,126.862265551097
강원대학교병원,광역정신건강복지센터,강원도 춘천시 춘천로 306-5,강원,37.8813279070611,127.747178348244
강원대학교병원,기초정신건강복지센터,강원도 춘천시 효제길 35,강원,37.8713350506268,127.73722022094
강원도자살예방센터,자살예방센터,강원도 춘천시 춘천로 306-5 유칭프라자 3층,강원,37.8813279070611,127.747178348244
강진군 정신건강복지센터,기초정신건강복지센터,전라남도 강진군 강진읍 목리길11,전라남도,34.6383362257568,126.775710026687
강화정신요양원,정신요양시설,인천광역시 강화군 선원면 고식이길 20번길 19-3,인천,37.7286290058985,126.493839201851
거제시 정신건강복지센터,기초정신건강복지센터,경상남도 거제시 수양로 506,경상남도,34.8919308904292,128.636662234842
거창군 정신건강복지센터,기초정신건강복지센터,경상남도 거창군 거창읍 거함대로 3079,경상남도,35.6810635906997,127.898493523478
건국대학교 충주병원,기초정신건강복지센터,충청북도 충주시 국원대로78 2층 ,충청북도,36.978440433485,127.928508360075
건양대학교병원,기초정신건강복지센터,대전광역시 서구 만년로 74 서구보건소 6층,대전,36.3670884877018,127.381099831657
경기다사모,정신재활시설,경기도 수원시 팔달구 매산로89,경기,37.2704984896655,127.010674176609
경기도 기초정신건강복지센터,기초정신건강복지센터,경기도 광주시 파발로 194번지,경기,37.4164309113198,127.250721806748
경기도의료원 의정부병원,기초정신건강복지센터,경기도 의정부시 범골로 131 의정부시보건소 3층,경기,37.7361593290305,127.039559500906
경기도의료원 의정부병원,중독관리통합지원센터,"경기도 의정부시 의정로 52번길 18, 삼보빌딩 3층",경기,37.7372550351954,127.036074913974
경기도자살예방센터,자살예방센터,경기도 수원시 장안구 수성로 245번길 69 (정자동) 경기도의료원 2층,경기,37.2918594997553,126.996380749927
경농의료재단 양산병원,기초정신건강복지센터,"경상남도 양산시 중앙로 7-32, 양산시보건복지센터 4층 양산시정신건강복지센터",경상남도,35.3321571425744,129.037994695879
경북대학교 간호과학연구소,기초정신건강복지센터,경상북도 구미시 선산대로 111,경상북도,36.1399351420163,128.345953658523
경북대학교 간호대학,기초정신건강복지센터,경상북도 영천시 조양공원길 21,경상북도,35.9666147686485,128.932297612795
경북대학교병원,기초정신건강복지센터,"대구광역시 중구 태평로 45, 중구보건소 3층",대구,35.8778154965513,128.583335429377
경산복지재단,기초정신건강복지센터,경기도 화성시 향남로 470 화성종합경기타운 실내체육관 내 1층,경기,37.1374711167282,126.924665037515
경산복지재단,중독관리통합지원센터,경기도 화성시 정남면 서봉로 998 정남면보건지소 내 1층,경기,37.1603735753645,126.97106942952
경산세명병원,기초정신건강복지센터,경상북도 경산시 남매로 158,경상북도,35.8251124676537,128.743282285101
경상대학교병원,중독관리통합지원센터,경상남도 진주시 진주대로 816번길 20 2층,경상남도,35.1741509438565,128.095877753988
경성대학교 산학협력단,기초정신건강복지센터,부산광역시 강서구 공항로 811번길 10 강서브라이트센터 내 보건소 3층,부산,35.1801905573425,128.957408226606
경주정신건강상담센터,정신재활시설,"경상북도 경주시 북성로 124, 2층",경상북도,35.8470303019658,129.215264644576
경희사회복귀시설,정신재활시설,"광주광역시 북구 연양로 105번길 14, 스카이빌 301, 303, 304호",광주,35.2075509180462,126.879387530431
경희의료원,기초정신건강복지센터,서울특별시 동대문구 홍릉로81 2층,서울,37.5875163184778,127.042707637538
계룡시 정신건강복지센터,기초정신건강복지센터,충청남도 계룡시 장안로 54(금암동 10-5),충청남도,36.2730574044493,127.250026359403
계요병원,기초정신건강복지센터,경기도 의왕시 오봉로34 의왕시보건소별관,경기,37.3437876927353,126.971993805282
고담의료재단 마더스병원,광역정신건강복지센터,"울산광역시 남구 화합로 105, 로하스빌딩 2층",울산,35.5340902870779,129.340633053458
고담의료재단 마더스병원,중독관리통합지원센터,"울산광역시 남구 화합로 105 (달동, 로하스빌딩 5층)",울산,35.5340902870779,129.340633053458
고담의료재단 마더스병원,중독관리통합지원센터,"울산광역시 중구 학성로 84-1, 3층",울산,35.5548972179278,129.320121236952
고려대학교 산학협력단,기초정신건강복지센터,경기도 안산시 단원구 화랑로 387,경기,37.3225569017972,126.83271351583
고려대학교 산학협력단,중독관리통합지원센터,"경기도 안산시 단원구 화랑로 387, 2층",경기,37.3225569017972,126.83271351583
고령군 정신건강복지센터,기초정신건강복지센터,경상북도 고령군 대가야읍 왕릉로 56-8,경상북도,35.7248718831614,128.264514796972
고성군 정신건강복지센터,기초정신건강복지센터,경상남도 고성군 남포로79번길 103-3,경상남도,34.9695737543353,128.315402934351
고성군정신건강복지센터,기초정신건강복지센터,강원 고성군 간성읍 수성로 30 보건소 2층,강원,38.3776748572342,128.472094142963
고성정신요양원,정신요양시설,경상남도 고성군 마암면 남해안대로3268-92,경상남도,35.0224617199626,128.353130677167
고신대학교 의과대학,기초정신건강복지센터,부산광역시 영도구 동삼북로2 동삼1주공아파트 상가 209호,부산,35.0827747930031,129.066771719936
고운누리,정신재활시설,"대전광역시 서구 도마로25번길 54, 101호(도마동)",대전,36.3247928486904,127.373259900601
고운누리,정신재활시설,경기도 성남시 수정구 산성대로 193 금성빌딩 5층,경기,37.4373145837914,127.139591219438
고정선신경 정신의학과,기초정신건강복지센터,인천광역시 동구 인중로 377 2층,인천,37.4830777767798,126.617713459133
고정선정신건강의학과의원,중독관리통합지원센터,인천광역시 동구 인중로 377 2층 ,인천,37.4830777767798,126.617713459133
고흥군 정신건강복지센터,기초정신건강복지센터,전라남도 고흥군 등암3길 5,전라남도,34.591985497768,127.269246889792
공감플러스,정신재활시설,서울특별시 강서구 화곡로61길 130 남영빌딩 3층,서울,37.5586424541538,126.845276067546
공생하우스,정신재활시설,제주특별자치도 제주시 아봉로449-10 ,제주,33.4714745882135,126.5821288192
공주벧엘정신요양원,정신요양시설,충청남도 공주시 백제문화로 2015-20,충청남도,36.4492789829685,127.099132052435
관악구 정신건강복지센터,기초정신건강복지센터,"서울특별시 관악구 관악로 145, 3동 4층",서울,37.4782106746327,126.951501244173
관악좋은집,정신재활시설,"서울특별시 관악구 법원단지32길 5, 201호(신림동)",서울,37.4756915539728,126.924694396307
광명시자살예방센터,자살예방센터,경기도 광명시 오리로 613 광명시보건소 1층 11호,경기,37.4554109876685,126.878163858407
광양시 정신건강복지센터,기초정신건강복지센터,전라남도 광양시 광양읍 인덕로 1100,전라남도,34.9809767437071,127.583622984452
광주광역시 기초정신건강복지센터,기초정신건강복지센터,광주광역시 서구 운천로 172번길 32(상무금호보건지소 정신보건팀),광주,35.1481814656476,126.860104312855
광주광역자살예방센터,자살예방센터,"광주광역시 동구 제봉로 27, 5층",광주,35.1411424902216,126.921149792306
광주새생명보건센터,정신재활시설,광주광역시 동구 중흥로 197,광주,35.1608203028187,126.915313504195
광주정신재활센터,정신재활시설,광주광역시 북구 서하로 240-18 2층,광주,35.1863712673404,126.907207030536
광주제일병원,중독관리통합지원센터,광주광역시 남구 독립로 25-1,광주,35.1359834510961,126.901334480018
광주해피라이프,정신재활시설,광주광역시 서구 화운로 172,광주,35.1542189324639,126.877034352649
광진 오사랑의집,정신재활시설,"서울특별시 광진구 긴고랑로 36길 57-11, 301호",서울,37.5574058364273,127.091229498274
